# Set empty fields to NA
Category,Fuel,Segment,Euro Standard,Concept,Pollutant,EF_ug_km
Heavy Duty Trucks,Diesel,NA,Conventional,DI,PM Road paved,38.0e3
Heavy Duty Trucks,Diesel,NA,Euro I,DI,PM Road paved,38.0e3
Heavy Duty Trucks,Diesel,NA,Euro II,DI,PM Road paved,38.0e3
Heavy Duty Trucks,Diesel,NA,Euro III,DI,PM Road paved,38.0e3
Heavy Duty Trucks,Diesel,NA,Euro IV,DI,PM Road paved,38.0e3
Heavy Duty Trucks,Diesel,NA,Euro V,DI,PM Road paved,38.0e3
Heavy Duty Trucks,Diesel,NA,Euro VI,DI,PM Road paved,38.0e3
# Buses
Buses,Diesel,NA,Conventional,DI,PM Road paved,38.0e3
Buses,Diesel,NA,Euro I,DI,PM Road paved,38.0e3
Buses,Diesel,NA,Euro II,DI,PM Road paved,38.0e3
Buses,Diesel,NA,Euro III,DI,PM Road paved,38.0e3
Buses,Diesel,NA,Euro IV,DI,PM Road paved,38.0e3
Buses,Diesel,NA,Euro V,DI,PM Road paved,38.0e3
Buses,Diesel,NA,Euro VI,DI,PM Road paved,38.0e3
############################################################################
### PM Tyres
# Petrol, L-Category
L-Category,Petrol,NA,Conventional,NA,PM Tyres,2.76e3
L-Category,Petrol,NA,Euro 1,NA,PM Tyres,2.76e3
L-Category,Petrol,NA,Euro 2,NA,PM Tyres,2.76e3
L-Category,Petrol,NA,Euro 3,NA,PM Tyres,2.76e3
L-Category,Petrol,NA,Euro 4,NA,PM Tyres,2.76e3
L-Category,Petrol,NA,Euro 5,NA,PM Tyres,2.76e3
# Petrol, passenger cars
Passenger Cars,Petrol,NA,Conventional,NA,PM Tyres,6.42e3
Passenger Cars,Petrol,NA,Euro 1,NA,PM Tyres,6.42e3
Passenger Cars,Petrol,NA,Euro 2,NA,PM Tyres,6.42e3
Passenger Cars,Petrol,NA,Euro 3,NA,PM Tyres,6.42e3
Passenger Cars,Petrol,NA,Euro 4,NA,PM Tyres,6.42e3
Passenger Cars,Petrol,NA,Euro 5,NA,PM Tyres,6.42e3
Passenger Cars,Petrol,NA,Euro 6 up to 2016,NA,PM Tyres,6.42e3
Passenger Cars,Petrol,NA,Euro 6 2017-2019,NA,PM Tyres,6.42e3
Passenger Cars,Petrol,NA,Euro 6 2020+,NA,PM Tyres,6.42e3
# Petrol, Light Commercial Vehicles
Light Commercial Vehicles,Petrol,NA,Conventional,NA,PM Tyres,10.14e3
Light Commercial Vehicles,Petrol,NA,Euro 1,NA,PM Tyres,10.14e3
Light Commercial Vehicles,Petrol,NA,Euro 2,NA,PM Tyres,10.14e3
Light Commercial Vehicles,Petrol,NA,Euro 3,NA,PM Tyres,10.14e3
Light Commercial Vehicles,Petrol,NA,Euro 4,NA,PM Tyres,10.14e3
Light Commercial Vehicles,Petrol,NA,Euro 5,NA,PM Tyres,10.14e3
Light Commercial Vehicles,Petrol,NA,Euro 6 up to 2016,NA,PM Tyres,10.14e3
Light Commercial Vehicles,Petrol,NA,Euro 6 2017-2019,NA,PM Tyres,10.14e3
Light Commercial Vehicles,Petrol,NA,Euro 6 2020+,NA,PM Tyres,10.14e3
# Diesel, L-Category
L-Category,Diesel,NA,Conventional,DI,PM Tyres,2.76e3
L-Category,Diesel,NA,Conventional,IDI,PM Tyres,2.76e3
L-Category,Diesel,NA,Euro 2,DI,PM Tyres,2.76e3
L-Category,Diesel,NA,Euro 2,IDI,PM Tyres,2.76e3
L-Category,Diesel,NA,Euro 1,DI,PM Tyres,2.76e3
L-Category,Diesel,NA,Euro 1,IDI,PM Tyres,2.76e3
L-Category,Diesel,NA,Euro 3,DI,PM Tyres,2.76e3
L-Category,Diesel,NA,Euro 3,IDI,PM Tyres,2.76e3
L-Category,Diesel,NA,Euro 4,DI,PM Tyres,2.76e3
L-Category,Diesel,NA,Euro 4,IDI,PM Tyres,2.76e3
L-Category,Diesel,NA,Euro 5,DI,PM Tyres,2.76e3
L-Category,Diesel,NA,Euro 5,IDI,PM Tyres,2.76e3
# Diesel, Passenger Cars
Passenger Cars,Diesel,NA,Conventional,DI,PM Tyres,6.42e3
Passenger Cars,Diesel,NA,Conventional,IDI,PM Tyres,6.42e3
Passenger Cars,Diesel,NA,Euro 1,DI,PM Tyres,6.42e3
Passenger Cars,Diesel,NA,Euro 1,IDI,PM Tyres,6.42e3
Passenger Cars,Diesel,NA,Euro 2,DI,PM Tyres,6.42e3
Passenger Cars,Diesel,NA,Euro 2,IDI,PM Tyres,6.42e3
Passenger Cars,Diesel,NA,Euro 3,DI,PM Tyres,6.42e3
Passenger Cars,Diesel,NA,Euro 3,IDI,PM Tyres,6.42e3
Passenger Cars,Diesel,NA,Euro 4,DI,PM Tyres,6.42e3
Passenger Cars,Diesel,NA,Euro 4,IDI,PM Tyres,6.42e3
Passenger Cars,Diesel,NA,Euro 5,DI,PM Tyres,6.42e3
Passenger Cars,Diesel,NA,Euro 5,IDI,PM Tyres,6.42e3
Passenger Cars,Diesel,NA,Euro 6 up to 2016,DI,PM Tyres,6.42e3
Passenger Cars,Diesel,NA,Euro 6 up to 2016,IDI,PM Tyres,6.42e3
Passenger Cars,Diesel,NA,Euro 6 2017-2019,DI,PM Tyres,6.42e3
Passenger Cars,Diesel,NA,Euro 6 2017-2019,IDI,PM Tyres,6.42e3
Passenger Cars,Diesel,NA,Euro 6 2020+,DI,PM Tyres,6.42e3
Passenger Cars,Diesel,NA,Euro 6 2020+,IDI,PM Tyres,6.42e3
# Diesel, Light Commercial Vehicles
Light Commercial Vehicles,Diesel,NA,Conventional,DI,PM Tyres,10.14e3
Light Commercial Vehicles,Diesel,NA,Conventional,IDI,PM Tyres,10.14e3
Light Commercial Vehicles,Diesel,NA,Euro 1,DI,PM Tyres,10.14e3
Light Commercial Vehicles,Diesel,NA,Euro 1,IDI,PM Tyres,10.14e3
Light Commercial Vehicles,Diesel,NA,Euro 2,DI,PM Tyres,10.14e3
Light Commercial Vehicles,Diesel,NA,Euro 2,IDI,PM Tyres,10.14e3
Light Commercial Vehicles,Diesel,NA,Euro 3,DI,PM Tyres,10.14e3
Light Commercial Vehicles,Diesel,NA,Euro 3,IDI,PM Tyres,10.14e3
Light Commercial Vehicles,Diesel,NA,Euro 4,DI,PM Tyres,10.14e3
Light Commercial Vehicles,Diesel,NA,Euro 4,IDI,PM Tyres,10.14e3
Light Commercial Vehicles,Diesel,NA,Euro 5,DI,PM Tyres,10.14e3
Light Commercial Vehicles,Diesel,NA,Euro 5,IDI,PM Tyres,10.14e3
Light Commercial Vehicles,Diesel,NA,Euro 6 up to 2016,DI,PM Tyres,10.14e3
Light Commercial Vehicles,Diesel,NA,Euro 6 up to 2016,IDI,PM Tyres,10.14e3
Light Commercial Vehicles,Diesel,NA,Euro 6 2017-2019,DI,PM Tyres,10.14e3
Light Commercial Vehicles,Diesel,NA,Euro 6 2017-2019,IDI,PM Tyres,10.14e3
Light Commercial Vehicles,Diesel,NA,Euro 6 2020+,DI,PM Tyres,10.14e3
Light Commercial Vehicles,Diesel,NA,Euro 6 2020+,IDI,PM Tyres,10.14e3
# Heavy Duty Trucks
Heavy Duty Trucks,Diesel,NA,Conventional,DI,PM Tyres,26.964e3
Heavy Duty Trucks,Diesel,NA,Euro I,DI,PM Tyres,26.964e3
Heavy Duty Trucks,Diesel,NA,Euro II,DI,PM Tyres,26.964e3
Heavy Duty Trucks,Diesel,NA,Euro III,DI,PM Tyres,26.964e3
Heavy Duty Trucks,Diesel,NA,Euro IV,DI,PM Tyres,26.964e3
Heavy Duty Trucks,Diesel,NA,Euro V,DI,PM Tyres,26.964e3
Heavy Duty Trucks,Diesel,NA,Euro VI,DI,PM Tyres,26.964e3
# Buses
Buses,Diesel,NA,Conventional,DI,PM Tyres,26.964e3
Buses,Diesel,NA,Euro I,DI,PM Tyres,26.964e3
Buses,Diesel,NA,Euro II,DI,PM Tyres,26.964e3
Buses,Diesel,NA,Euro III,DI,PM Tyres,26.964e3
Buses,Diesel,NA,Euro IV,DI,PM Tyres,26.964e3
Buses,Diesel,NA,Euro V,DI,PM Tyres,26.964e3
Buses,Diesel,NA,Euro VI,DI,PM Tyres,26.964e3
############################################################################
### CO2 lubricant
# Petrol, L-Category
# only ATV are Petrol, L-Category (Table 3-30, pg 52)
L-Category,Petrol,NA,Conventional,NA,CO2 lubricant,0.43e5
L-Category,Petrol,NA,Euro 1,NA,CO2 lubricant,0.43e5
L-Category,Petrol,NA,Euro 2,NA,CO2 lubricant,0.43e5
L-Category,Petrol,NA,Euro 3,NA,CO2 lubricant,0.43e5
L-Category,Petrol,NA,Euro 4,NA,CO2 lubricant,0.43e5
L-Category,Petrol,NA,Euro 5,NA,CO2 lubricant,0.43e5
# Petrol, passenger cars
# old: <= Euro 4
# new: >= Euro 5 (Table 3-30, pg 52)
Passenger Cars,Petrol,NA,Conventional,NA,CO2 lubricant,1.45e5
Passenger Cars,Petrol,NA,Euro 1,NA,CO2 lubricant,1.45e5
Passenger Cars,Petrol,NA,Euro 2,NA,CO2 lubricant,1.45e5
Passenger Cars,Petrol,NA,Euro 3,NA,CO2 lubricant,1.45e5
Passenger Cars,Petrol,NA,Euro 4,NA,CO2 lubricant,1.45e5
Passenger Cars,Petrol,NA,Euro 5,NA,CO2 lubricant,1.28e5
Passenger Cars,Petrol,NA,Euro 6 up to 2016,NA,CO2 lubricant,1.28e5
Passenger Cars,Petrol,NA,Euro 6 2017-2019,NA,CO2 lubricant,1.28e5
Passenger Cars,Petrol,NA,Euro 6 2020+,NA,CO2 lubricant,1.28e5
# Petrol, Light Commercial Vehicles
# old: <= Euro 4
# new: >= Euro 5 (Table 3-30, pg 52)
Light Commercial Vehicles,Petrol,NA,Conventional,NA,CO2 lubricant,1.45e5
Light Commercial Vehicles,Petrol,NA,Euro 1,NA,CO2 lubricant,1.45e5
Light Commercial Vehicles,Petrol,NA,Euro 2,NA,CO2 lubricant,1.45e5
Light Commercial Vehicles,Petrol,NA,Euro 3,NA,CO2 lubricant,1.45e5
Light Commercial Vehicles,Petrol,NA,Euro 4,NA,CO2 lubricant,1.45e5
Light Commercial Vehicles,Petrol,NA,Euro 5,NA,CO2 lubricant,1.28e5
Light Commercial Vehicles,Petrol,NA,Euro 6 up to 2016,NA,CO2 lubricant,1.28e5
Light Commercial Vehicles,Petrol,NA,Euro 6 2017-2019,NA,CO2 lubricant,1.28e5
Light Commercial Vehicles,Petrol,NA,Euro 6 2020+,NA,CO2 lubricant,1.28e5
# Diesel, L-Category
# maximum of Mopeds, Motorcycles and Mini-cars (Table 3-30, pg 52)
L-Category,Diesel,NA,Conventional,DI,CO2 lubricant,10.2e5
L-Category,Diesel,NA,Conventional,IDI,CO2 lubricant,10.2e5
L-Category,Diesel,NA,Euro 2,DI,CO2 lubricant,10.2e5
L-Category,Diesel,NA,Euro 2,IDI,CO2 lubricant,10.2e5
L-Category,Diesel,NA,Euro 1,DI,CO2 lubricant,10.2e5
L-Category,Diesel,NA,Euro 1,IDI,CO2 lubricant,10.2e5
L-Category,Diesel,NA,Euro 3,DI,CO2 lubricant,10.2e5
L-Category,Diesel,NA,Euro 3,IDI,CO2 lubricant,10.2e5
L-Category,Diesel,NA,Euro 4,DI,CO2 lubricant,10.2e5
L-Category,Diesel,NA,Euro 4,IDI,CO2 lubricant,10.2e5
L-Category,Diesel,NA,Euro 5,DI,CO2 lubricant,10.2e5
L-Category,Diesel,NA,Euro 5,IDI,CO2 lubricant,10.2e5
# Diesel, Passenger Cars
# old: <= Euro 4
# new: >= Euro 5 (Table 3-30, pg 52)
Passenger Cars,Diesel,NA,Conventional,DI,CO2 lubricant,1.49e5
Passenger Cars,Diesel,NA,Conventional,IDI,CO2 lubricant,1.49e5
Passenger Cars,Diesel,NA,Euro 1,DI,CO2 lubricant,1.49e5
Passenger Cars,Diesel,NA,Euro 1,IDI,CO2 lubricant,1.49e5
Passenger Cars,Diesel,NA,Euro 2,DI,CO2 lubricant,1.49e5
Passenger Cars,Diesel,NA,Euro 2,IDI,CO2 lubricant,1.49e5
Passenger Cars,Diesel,NA,Euro 3,DI,CO2 lubricant,1.49e5
Passenger Cars,Diesel,NA,Euro 3,IDI,CO2 lubricant,1.49e5
Passenger Cars,Diesel,NA,Euro 4,DI,CO2 lubricant,1.49e5
Passenger Cars,Diesel,NA,Euro 4,IDI,CO2 lubricant,1.49e5
Passenger Cars,Diesel,NA,Euro 5,DI,CO2 lubricant,1.28e5
Passenger Cars,Diesel,NA,Euro 5,IDI,CO2 lubricant,1.28e5
Passenger Cars,Diesel,NA,Euro 6 up to 2016,DI,CO2 lubricant,1.28e5
Passenger Cars,Diesel,NA,Euro 6 up to 2016,IDI,CO2 lubricant,1.28e5
Passenger Cars,Diesel,NA,Euro 6 2017-2019,DI,CO2 lubricant,1.28e5
Passenger Cars,Diesel,NA,Euro 6 2017-2019,IDI,CO2 lubricant,1.28e5
Passenger Cars,Diesel,NA,Euro 6 2020+,DI,CO2 lubricant,1.28e5
Passenger Cars,Diesel,NA,Euro 6 2020+,IDI,CO2 lubricant,1.28e5
# Diesel, Light Commercial Vehicles
# old: <= Euro 4
# new: >= Euro 5 (Table 3-30, pg 52)
Light Commercial Vehicles,Diesel,NA,Conventional,DI,CO2 lubricant,1.49e5
Light Commercial Vehicles,Diesel,NA,Conventional,IDI,CO2 lubricant,1.49e5
Light Commercial Vehicles,Diesel,NA,Euro 1,DI,CO2 lubricant,1.49e5
Light Commercial Vehicles,Diesel,NA,Euro 1,IDI,CO2 lubricant,1.49e5
Light Commercial Vehicles,Diesel,NA,Euro 2,DI,CO2 lubricant,1.49e5
Light Commercial Vehicles,Diesel,NA,Euro 2,IDI,CO2 lubricant,1.49e5
Light Commercial Vehicles,Diesel,NA,Euro 3,DI,CO2 lubricant,1.49e5
Light Commercial Vehicles,Diesel,NA,Euro 3,IDI,CO2 lubricant,1.49e5
Light Commercial Vehicles,Diesel,NA,Euro 4,DI,CO2 lubricant,1.49e5
Light Commercial Vehicles,Diesel,NA,Euro 4,IDI,CO2 lubricant,1.49e5
Light Commercial Vehicles,Diesel,NA,Euro 5,DI,CO2 lubricant,1.28e5
Light Commercial Vehicles,Diesel,NA,Euro 5,IDI,CO2 lubricant,1.28e5
Light Commercial Vehicles,Diesel,NA,Euro 6 up to 2016,DI,CO2 lubricant,1.28e5
Light Commercial Vehicles,Diesel,NA,Euro 6 up to 2016,IDI,CO2 lubricant,1.28e5
Light Commercial Vehicles,Diesel,NA,Euro 6 2017-2019,DI,CO2 lubricant,1.28e5
Light Commercial Vehicles,Diesel,NA,Euro 6 2017-2019,IDI,CO2 lubricant,1.28e5
Light Commercial Vehicles,Diesel,NA,Euro 6 2020+,DI,CO2 lubricant,1.28e5
Light Commercial Vehicles,Diesel,NA,Euro 6 2020+,IDI,CO2 lubricant,1.28e5
# Heavy Duty Trucks
Heavy Duty Trucks,Diesel,NA,Conventional,DI,CO2 lubricant,1.56e5
Heavy Duty Trucks,Diesel,NA,Euro I,DI,CO2 lubricant,1.56e5
Heavy Duty Trucks,Diesel,NA,Euro II,DI,CO2 lubricant,1.56e5
Heavy Duty Trucks,Diesel,NA,Euro III,DI,CO2 lubricant,1.56e5
Heavy Duty Trucks,Diesel,NA,Euro IV,DI,CO2 lubricant,1.56e5
Heavy Duty Trucks,Diesel,NA,Euro V,DI,CO2 lubricant,1.56e5
Heavy Duty Trucks,Diesel,NA,Euro VI,DI,CO2 lubricant,1.56e5
# Buses
# average buses and coaches (Table 3-30, pg 52)
Buses,Diesel,NA,Conventional,DI,CO2 lubricant,5.205e5
Buses,Diesel,NA,Euro I,DI,CO2 lubricant,5.205e5
Buses,Diesel,NA,Euro II,DI,CO2 lubricant,5.205e5
Buses,Diesel,NA,Euro III,DI,CO2 lubricant,5.205e5
Buses,Diesel,NA,Euro IV,DI,CO2 lubricant,5.205e5
Buses,Diesel,NA,Euro V,DI,CO2 lubricant,1.275e5
Buses,Diesel,NA,Euro VI,DI,CO2 lubricant,1.275e5
############################################################################
