# Set empty fields to NA
Category,Fuel,Segment,Euro Standard,Concept,Pollutant,EF_ug_km
Passenger Cars,Petrol,NA,Euro 6 2017-2019,NA,benzo(a)pyrene,0.32
Passenger Cars,Petrol,NA,Euro 6 2020+,NA,benzo(a)pyrene,0.32
Passenger Cars,E85,NA,Conventional,NA,benzo(a)pyrene,0.48
Passenger Cars,E85,NA,Euro 1,NA,benzo(a)pyrene,0.32
Passenger Cars,E85,NA,Euro 2,NA,benzo(a)pyrene,0.32
Passenger Cars,E85,NA,Euro 3,NA,benzo(a)pyrene,0.32
Passenger Cars,E85,NA,Euro 4,NA,benzo(a)pyrene,0.32
Passenger Cars,E85,NA,Euro 5,NA,benzo(a)pyrene,0.32
Passenger Cars,E85,NA,Euro 6 up to 2016,NA,benzo(a)pyrene,0.32
Passenger Cars,E85,NA,Euro 6 2017-2019,NA,benzo(a)pyrene,0.32
Passenger Cars,E85,NA,Euro 6 2020+,NA,benzo(a)pyrene,0.32
Passenger Cars,CNG,NA,Conventional,NA,benzo(a)pyrene,0.48
Passenger Cars,CNG,NA,Euro 1,NA,benzo(a)pyrene,0.32
Passenger Cars,CNG,NA,Euro 2,NA,benzo(a)pyrene,0.32
Passenger Cars,CNG,NA,Euro 3,NA,benzo(a)pyrene,0.32
Passenger Cars,CNG,NA,Euro 4,NA,benzo(a)pyrene,0.32
Passenger Cars,CNG,NA,Euro 5,NA,benzo(a)pyrene,0.32
Passenger Cars,CNG,NA,Euro 6 up to 2016,NA,benzo(a)pyrene,0.32
Passenger Cars,CNG,NA,Euro 6 2017-2019,NA,benzo(a)pyrene,0.32
Passenger Cars,CNG,NA,Euro 6 2020+,NA,benzo(a)pyrene,0.32
# Petrol, E85, CNG Light Commercial Vehicles
Light Commercial Vehicles,Petrol,NA,Conventional,NA,benzo(a)pyrene,0.48
Light Commercial Vehicles,Petrol,NA,Euro 1,NA,benzo(a)pyrene,0.32
Light Commercial Vehicles,Petrol,NA,Euro 2,NA,benzo(a)pyrene,0.32
Light Commercial Vehicles,Petrol,NA,Euro 3,NA,benzo(a)pyrene,0.32
Light Commercial Vehicles,Petrol,NA,Euro 4,NA,benzo(a)pyrene,0.32
Light Commercial Vehicles,Petrol,NA,Euro 5,NA,benzo(a)pyrene,0.32
Light Commercial Vehicles,Petrol,NA,Euro 6 up to 2016,NA,benzo(a)pyrene,0.32
Light Commercial Vehicles,Petrol,NA,Euro 6 2017-2019,NA,benzo(a)pyrene,0.32
Light Commercial Vehicles,Petrol,NA,Euro 6 2020+,NA,benzo(a)pyrene,0.32
Light Commercial Vehicles,E85,NA,Conventional,NA,benzo(a)pyrene,0.48
Light Commercial Vehicles,E85,NA,Euro 1,NA,benzo(a)pyrene,0.32
Light Commercial Vehicles,E85,NA,Euro 2,NA,benzo(a)pyrene,0.32
Light Commercial Vehicles,E85,NA,Euro 3,NA,benzo(a)pyrene,0.32
Light Commercial Vehicles,E85,NA,Euro 4,NA,benzo(a)pyrene,0.32
Light Commercial Vehicles,E85,NA,Euro 5,NA,benzo(a)pyrene,0.32
Light Commercial Vehicles,E85,NA,Euro 6 up to 2016,NA,benzo(a)pyrene,0.32
Light Commercial Vehicles,E85,NA,Euro 6 2017-2019,NA,benzo(a)pyrene,0.32
Light Commercial Vehicles,E85,NA,Euro 6 2020+,NA,benzo(a)pyrene,0.32
Light Commercial Vehicles,CNG,NA,Conventional,NA,benzo(a)pyrene,0.48
Light Commercial Vehicles,CNG,NA,Euro 1,NA,benzo(a)pyrene,0.32
Light Commercial Vehicles,CNG,NA,Euro 2,NA,benzo(a)pyrene,0.32
Light Commercial Vehicles,CNG,NA,Euro 3,NA,benzo(a)pyrene,0.32
Light Commercial Vehicles,CNG,NA,Euro 4,NA,benzo(a)pyrene,0.32
Light Commercial Vehicles,CNG,NA,Euro 5,NA,benzo(a)pyrene,0.32
Light Commercial Vehicles,CNG,NA,Euro 6 up to 2016,NA,benzo(a)pyrene,0.32
Light Commercial Vehicles,CNG,NA,Euro 6 2017-2019,NA,benzo(a)pyrene,0.32
Light Commercial Vehicles,CNG,NA,Euro 6 2020+,NA,benzo(a)pyrene,0.32
# Diesel, Passenger Cars
Passenger Cars,Diesel,NA,Conventional,DI,benzo(a)pyrene,0.63
Passenger Cars,Diesel,NA,Conventional,IDI,benzo(a)pyrene,2.85
